task_type,subject_importance,deadline_days,estimated_time,difficulty,urgency_self,energy_required,self_reported_procrastination,completion_status,actual_time_vs_estimate,energy_at_attempt,priority
Exam Preparation,Secondary,9.123309656971033,118.62813904586976,3.9418291624072856,2.3125076625621275,Low,4.656947914909265,Started but not completed,Less than estimated,Medium,High
Assignment,Secondary,11.918306112186674,85.79349668406215,2.662308632956087,4.979327730323392,Low,3.130514491913988,Completed but late,Much more,Medium,High
Exam Preparation,Secondary,4.185583803259325,58.29008900254546,1.5117812748458768,1.8129346419732362,Medium,4.074636357496889,Did not start,Same as estimated,Low,Low
Assignment,Optional,5.037344160991866,100.33550465813792,4.4411399189923575,1.985962556536307,Medium,2.0540856519184487,Completed but late,Much more,High,High
Exam Preparation,Core,4.964745757830917,84.97233647614851,1.9156231889125634,1.9393209294801852,Low,2.237531918265154,Completed on time,Less than estimated,High,Medium
Reading / Notes,Optional,19.48963684914184,47.37063148936293,2.6229399885164137,3.0381510553562343,Medium,1.7789921011451915,Did not start,Slightly more,High,High
Revision / Practice,Secondary,17.83476573281761,64.26839162658132,3.2164512042572504,1.0701383242393807,Low,1.991369576019875,Completed but late,Same as estimated,High,High
Project,Core,2.759290853617986,107.82007013780158,2.2479380537133204,3.213209203037803,Low,1.056919697324453,Completed but late,Less than estimated,High,Medium
Assignment,Secondary,18.733426004041515,99.41952189891099,3.493367553985417,3.012338765490763,Medium,3.7791859902645215,Did not start,Same as estimated,Medium,High
Assignment,Secondary,8.858266986272918,69.01995466998582,3.4357515003910963,1.2391332205983625,Medium,2.0192849912799176,Did not start,Much more,Medium,Low
Exam Preparation,Secondary,3.5309104836493543,36.537662162159506,3.941547831331542,1.265080945570165,High,2.832968003704674,Did not start,Much more,Low,Medium
Exam Preparation,Optional,4.179451038676126,77.56542178083598,3.3788857603270874,1.2157899756081045,Medium,3.2822393720946104,Did not start,Same as estimated,Medium,High
Assignment,Core,1.4500174405189536,94.05787648459902,3.3579665570896053,3.78336725354113,Medium,4.612057189397923,Did not start,Much more,Medium,High
Project,Secondary,17.929728176195614,106.42967596272352,1.123106614030632,1.6392156166748624,Low,2.2118307123814342,Completed but late,Less than estimated,Low,Medium
Reading / Notes,Optional,14.58081430387276,52.72050178561159,3.139527959504772,3.9236697175823863,Low,4.384952719621687,Did not start,Slightly more,Medium,Low
Reading / Notes,Core,6.98712035227744,79.47105112060933,3.1077429187417835,4.770300289365461,Medium,3.9214910597194943,Completed but late,Less than estimated,High,High
Exam Preparation,Optional,17.114605805420265,72.45590289400958,2.535661711642117,2.6252549319070266,High,2.3910383610773085,Completed on time,Less than estimated,Medium,Low
Revision / Practice,Core,2.5416727028530395,75.45862782209747,3.5798897208163716,4.217812718783138,Medium,4.80865287634213,Did not start,Less than estimated,High,Medium
Reading / Notes,Optional,4.689386980931422,106.79648996368286,1.0601377072332387,1.555871893008212,Low,1.4289693569050796,Did not start,Less than estimated,Medium,High
Project,Secondary,3.368774114566657,44.524833242637655,3.630840879305547,1.3834056706919733,Medium,2.926227384500618,Completed but late,Much more,High,Medium
Assignment,Secondary,3.3197697555186045,91.44556013828128,2.8400735604115894,4.834419766326382,Medium,3.790428571155223,Completed but late,Much more,Medium,Medium
Project,Optional,2.1005669673314675,36.019198528959166,1.9362435906728006,1.7517078305654672,High,3.635637565381157,Started but not completed,Less than estimated,Low,Low
Revision / Practice,Secondary,7.144469682976271,111.15616699983539,1.638991632968954,3.2049393832582425,Medium,2.3424028270930304,Started but not completed,Same as estimated,Medium,High
Revision / Practice,Secondary,17.684025538414275,102.9512015414355,2.7229352270353573,3.027216930222826,Low,3.9238285185888584,Completed on time,Much more,Low,Low
Assignment,Optional,19.32169159393454,88.39024481455358,3.318891042024986,2.6046500837571487,High,2.1174859540598194,Completed on time,Much more,Medium,Medium
Exam Preparation,Secondary,5.950651486211385,103.56659971645426,1.4083568860023612,3.8350635084724214,Low,1.811133350022978,Started but not completed,Much more,Medium,High
Assignment,Core,12.3049700684692,82.90747635121156,4.214541882941544,3.499780212668855,Low,4.368512361361683,Completed but late,Slightly more,Low,Low
Exam Preparation,Secondary,10.059065485482275,51.311488038235964,2.373432888654493,3.0684154125107863,Medium,1.4499780393721275,Did not start,Same as estimated,Low,Medium
Exam Preparation,Secondary,7.883302891456497,86.28433143973623,4.734731124537632,4.705354386380886,Medium,4.697955420413094,Completed on time,Slightly more,Low,Low
Exam Preparation,Core,3.6007654643181963,52.849428022660376,3.086105795941804,4.845495761958852,Medium,2.5282597685912362,Completed but late,Less than estimated,Low,High
Reading / Notes,Core,8.25364657260905,51.20395388378071,1.2216339758451396,4.422337332087761,Low,4.773187291370492,Did not start,Slightly more,Medium,High
Revision / Practice,Core,18.38726506115841,68.70356922229541,2.50413586159163,1.0493857237465538,High,3.3154431204131702,Started but not completed,Same as estimated,High,Medium
Exam Preparation,Core,12.80430774215631,73.64592509668111,3.1431342221703042,1.998807615178381,High,3.3092171620231823,Did not start,Less than estimated,High,High
Assignment,Secondary,2.195860783734316,44.16613079124305,3.7362391391729264,4.580210284249279,High,2.6996940402601353,Completed but late,Much more,Low,Medium
Reading / Notes,Secondary,17.339852704021574,34.4491458023744,3.108631644752478,2.557557529766655,Medium,3.722803358356614,Completed on time,Less than estimated,Low,High
Reading / Notes,Core,2.225588185481231,111.74503485034566,1.5642538196334934,2.353708150867893,Low,2.264702947776609,Completed but late,Less than estimated,High,Low
Project,Secondary,19.47199556438448,87.95328760817478,4.211485544953952,4.791519834916271,Medium,4.855714539910865,Did not start,Much more,Low,Medium
Assignment,Secondary,11.170273960969235,74.63571590568176,3.4677469581183753,4.359884353393565,Low,4.765722930563074,Did not start,Less than estimated,Medium,Low
Assignment,Core,1.964139188429339,102.50336051489701,4.899535891415285,4.673860023079111,High,3.5517414951767385,Did not start,Same as estimated,Low,High
Reading / Notes,Optional,11.625740185515774,70.53226446215541,3.9222244962986093,1.2832070246241942,Medium,4.335521480068392,Started but not completed,Slightly more,Low,Low
Project,Secondary,7.507519667147362,34.609961764140635,4.984681306241766,2.8642550996279272,High,3.449209986562678,Completed but late,Same as estimated,High,Low
Assignment,Core,8.003313496596702,75.54544061116499,3.8685139211487622,2.948229958140019,Medium,1.2763062440067023,Completed on time,Less than estimated,High,Low
Revision / Practice,Secondary,15.056019707244857,103.86077502260086,2.4516816007184454,4.351874617536069,High,4.171322101620142,Completed on time,Less than estimated,Medium,Low
Exam Preparation,Secondary,0.6391506911826395,100.43399997862942,3.3815501974075755,4.318967520100147,Medium,4.890125924762426,Did not start,Slightly more,Low,Low
Project,Core,11.7878503837902,44.49538815464337,3.241796769033803,4.406622982730342,High,1.2474825446363922,Started but not completed,Less than estimated,Low,Medium
Exam Preparation,Secondary,11.882205875165111,105.2299730635342,1.9377599188327097,3.6880691451565633,Low,4.588377371713076,Completed on time,Less than estimated,Low,Low
Revision / Practice,Optional,17.683594487535373,45.39071301626166,1.694308619630227,4.666554930364009,Low,2.355241502452341,Completed but late,Less than estimated,Low,Medium
Assignment,Secondary,7.348555149764864,34.54933744512399,4.8543187373567225,4.191754017169876,High,3.764457902593107,Did not start,Less than estimated,Low,Low
Exam Preparation,Secondary,2.7145848174451115,59.54690499713993,1.2058902451512892,3.7177969760658782,High,3.161159620909205,Started but not completed,Same as estimated,Medium,High
Assignment,Optional,19.187684812392682,80.84080030932472,3.0184044430806187,4.703176894921913,High,1.5224463731520887,Completed on time,Much more,Medium,High
Project,Secondary,10.357391590433945,45.40663305517518,1.8785052452318904,1.5241549431975292,High,3.0639406701734373,Did not start,Less than estimated,High,Low
Reading / Notes,Optional,13.79962478355311,113.19122825058949,1.0283402492294358,1.0404383437254343,High,3.1957258814618217,Started but not completed,Slightly more,High,High
Exam Preparation,Optional,17.20874376420636,53.891697979340144,1.0951685917486835,3.2805131164975556,Low,4.920214062218744,Did not start,Less than estimated,Medium,Low
Exam Preparation,Core,1.4447630399648759,94.42498215588218,4.46000387542722,1.1054673996891111,Medium,1.8409442961231428,Completed on time,Slightly more,High,High
Assignment,Optional,12.486364704755424,48.44121675434755,4.774648473923886,2.254714593268818,High,1.4343009889046185,Completed on time,Same as estimated,Medium,High
Exam Preparation,Secondary,8.228506584749427,42.22227252656157,2.850465279657138,4.166062198636444,Low,1.6802609390771561,Completed on time,Same as estimated,High,Medium
Exam Preparation,Secondary,12.87796702683399,76.58804729981853,1.657256932165001,1.3652855941425726,High,2.917288715222514,Did not start,Same as estimated,Low,Medium
Project,Secondary,8.866109714414263,87.77595909185857,4.543774870219014,3.6638896245127577,Low,1.6062002287128485,Completed but late,Less than estimated,Low,High
Assignment,Secondary,1.629718180739459,52.765673493742334,1.212055455862206,1.2007582775242773,High,2.762011852628449,Completed but late,Slightly more,High,Medium
Project,Secondary,2.2979021734610705,108.71259651337228,2.0341727806140497,2.4003595993261286,High,1.8549396492204138,Did not start,Same as estimated,High,Low
Exam Preparation,Optional,1.4981334990102169,116.23824232182672,3.9197228615078727,4.98120790085438,Low,2.6110910997926946,Completed on time,Slightly more,Low,Medium
Reading / Notes,Core,9.248530987032023,118.74461750151247,4.9342389062215,2.73706714713099,Low,2.2630496442317503,Completed on time,Less than estimated,High,Low
Revision / Practice,Core,4.100879356595611,62.03763951058187,1.5959777450817438,1.716526483696263,High,1.288584718808146,Started but not completed,Same as estimated,High,Medium
Exam Preparation,Optional,0.1738769726637912,113.15193346528002,3.3796290490199508,4.396256087269396,Low,1.873144780474664,Completed on time,Less than estimated,Low,Low
Assignment,Secondary,5.568735075250184,35.05346660431729,1.7255243559703932,4.769884946349027,High,2.6118233411286402,Completed on time,Much more,Medium,High
Assignment,Optional,9.063613293504442,110.25781566734624,2.8574963884722986,1.8961069732141795,High,3.923191703893193,Did not start,Less than estimated,Low,Low
Assignment,Core,8.600282621767107,114.26937225782788,2.7656510675377723,4.018296331491633,High,1.06582180552825,Did not start,Less than estimated,Low,High
Revision / Practice,Core,4.684307126368621,34.79821411354569,4.333633474639868,3.692261029627651,Medium,2.255348933638885,Started but not completed,Less than estimated,High,High
Project,Secondary,6.348716000665815,101.16791579591067,3.901116997073687,4.810472302216187,Low,4.976755956703714,Did not start,Much more,Low,Medium
Reading / Notes,Core,1.225588090987051,68.44314701866162,3.290668312917498,2.4023229611482155,Low,3.617966334207622,Started but not completed,Same as estimated,Medium,High
Revision / Practice,Core,13.294544774364585,62.3596397786339,4.271639639248992,2.7971115084904117,Medium,4.6532697441594895,Did not start,Much more,High,Medium
Exam Preparation,Optional,16.464110176300863,30.500177051658184,2.010028480077761,4.542147727883712,Low,3.7419727255020128,Completed but late,Less than estimated,High,Medium
Assignment,Core,1.838899687526272,52.70727834962447,3.265210147120661,2.864801492431128,Low,3.9057181028176924,Started but not completed,Much more,Medium,Low
Reading / Notes,Optional,3.3143107872528987,41.21193862845433,4.096054317388477,1.4366704490121527,Medium,4.358241387530013,Started but not completed,Same as estimated,Low,Low
Project,Core,18.423663038668586,80.69451055292478,2.339374343898573,4.3099958832099325,Low,1.026205221600915,Did not start,Much more,Medium,Low
Reading / Notes,Secondary,2.009334974064818,53.84886321613797,2.000299626157143,2.786071737969419,High,1.837291042945877,Started but not completed,Same as estimated,High,Medium
Reading / Notes,Optional,12.128193887593913,98.8086941128248,3.6131016741929063,1.729948021488775,Medium,4.708294766780426,Did not start,Less than estimated,Medium,Medium
Reading / Notes,Optional,6.072835276870219,60.48890793911724,1.0801588310301118,4.677268273425375,High,1.8756542478843934,Started but not completed,Same as estimated,High,Low
Revision / Practice,Core,6.696052287796228,112.14013250502204,4.269515848053807,1.7981948781670645,High,2.750002031663705,Completed on time,Same as estimated,High,Low
Assignment,Core,15.883475452420877,82.30891406585808,1.7655735190471304,1.3178488799086283,High,1.681178208439702,Completed on time,Same as estimated,High,High
Exam Preparation,Core,19.38974475016067,94.9162882516196,1.6749060950695127,2.1275177684882705,Low,2.826639457740531,Completed but late,Much more,High,Low
Reading / Notes,Core,10.23714635848647,40.3779634331858,3.1910126510035743,2.5052353256362143,High,2.48734717008638,Did not start,Much more,Low,Medium
Project,Optional,13.730522900378165,113.495333720085,4.389571479126072,1.7923341266836283,Low,1.1798786946234832,Did not start,Much more,Medium,High
Exam Preparation,Optional,15.575290583521193,111.6109494354782,2.6766023371083576,4.514542123498009,Medium,4.811075204125226,Did not start,Slightly more,Medium,Low
Revision / Practice,Optional,10.67269214546689,42.788983493557254,3.6317326409565136,2.179823019915178,High,4.3833674863095515,Completed but late,Slightly more,High,Low
Project,Secondary,12.06190763528751,38.15539577685706,4.013794400472962,3.1632615881244077,High,1.3344898497344513,Started but not completed,Less than estimated,High,High
Project,Optional,7.104402258124553,39.299932728473756,4.894823438364809,4.191456397517699,Low,1.0160750012386162,Started but not completed,Same as estimated,Low,Medium
Assignment,Secondary,13.18109859024975,34.620680359613814,3.48004431524085,1.8289731091725732,Medium,1.9151481423156533,Did not start,Less than estimated,Medium,Medium
Revision / Practice,Core,19.734506957961607,36.33863319845278,3.248841655189503,2.129758404801811,High,4.668180718908992,Completed on time,Slightly more,Low,High
Reading / Notes,Optional,18.994642614034927,119.72679099579076,2.131524383114997,4.686822750418564,High,4.15670164543487,Completed but late,Slightly more,Low,Low
Project,Optional,9.789087663644123,50.30664609890982,1.8921434139135407,2.404473969004335,Low,3.6912114907845104,Completed but late,Slightly more,Medium,High
Assignment,Optional,6.426181384044223,50.910341515902424,2.5084486836593123,3.1574502325981935,Low,1.2765153353087082,Completed on time,Slightly more,Low,High
Reading / Notes,Secondary,13.44900110596681,82.48528265735447,3.879730000205682,1.74462651318784,Medium,2.539383826334922,Completed on time,Slightly more,Low,Medium
Assignment,Secondary,12.731987853106357,90.9700103303621,2.853929582813359,2.4131921877023164,Medium,1.307453521510881,Started but not completed,Much more,High,Medium
Assignment,Core,16.1348288722138,103.5134620502101,2.6655967371976903,4.543726177951029,Medium,4.080307860702002,Completed but late,Less than estimated,Low,High
Exam Preparation,Optional,13.191764446403418,46.6822855419198,4.634511575371652,3.4731608760186186,High,2.0013304335808675,Started but not completed,Same as estimated,High,High
Revision / Practice,Optional,12.021547088949514,114.85962046183262,2.4454734886794287,1.6495292987332908,Low,4.635599538062154,Completed but late,Much more,Medium,High
Revision / Practice,Optional,14.238111689218492,117.55035736985292,2.1321573925108903,3.3492753327492784,Low,2.260748103658584,Started but not completed,Less than estimated,Medium,High
Project,Optional,6.866811118459115,52.49914299864679,4.0147635648683915,1.9795901633389823,High,4.140843034254331,Did not start,Slightly more,Medium,Medium
Assignment,Core,13.15088784350923,32.195160278908,2.7367522086434994,4.86958705249285,Medium,4.9149788767432785,Started but not completed,Slightly more,High,Medium
Reading / Notes,Core,17.253898319028263,45.679769703137794,2.106164555172667,4.387521125733308,High,1.0223242670383104,Completed but late,Less than estimated,High,Medium
Project,Core,7.965056004584794,105.84424740476035,1.7483798794996122,2.7850739101534647,High,2.32845667688637,Started but not completed,Much more,High,High
Reading / Notes,Secondary,19.088278927476953,78.9694870526878,2.198645146475756,3.2829707007653046,Medium,1.9721158373503989,Completed on time,Slightly more,Medium,Medium
Reading / Notes,Core,18.70631503272753,97.77116444562735,3.195306779611925,1.337761364076869,High,2.237056611327761,Completed but late,Slightly more,High,High
Reading / Notes,Optional,4.167326648131143,84.49937398897004,1.8248207846635678,1.5675430104656476,High,1.7836399282002855,Completed but late,Slightly more,High,Medium
Revision / Practice,Secondary,3.3864865206779937,88.03344584439277,1.1908189981803377,2.890976747195121,Low,4.947819244723119,Started but not completed,Slightly more,High,High
Reading / Notes,Secondary,3.288915829077208,59.375078590238786,1.7101931210841816,4.517366751108046,Low,2.7762153157849907,Completed but late,Slightly more,High,Medium
Revision / Practice,Secondary,6.272790936164645,41.975910777766046,1.6117693882041997,3.5132582165590094,High,3.2763255803138334,Did not start,Much more,Low,Low
Exam Preparation,Secondary,7.938721121372905,34.06835653553293,2.1598487781693283,3.157002865295612,High,4.598019822309682,Did not start,Much more,Medium,Medium
Revision / Practice,Optional,6.881781983977975,56.63235357742737,1.3940940221324922,1.222441475265133,High,2.2937287609783756,Started but not completed,Same as estimated,Medium,Medium
Revision / Practice,Secondary,8.632880825771089,58.71678842861445,4.052819667969294,3.7414811289325893,Low,2.4402180078084683,Started but not completed,Slightly more,Medium,Medium
Assignment,Optional,6.711193479059192,72.49650727617706,1.716249539862499,4.097347615696011,Medium,3.4657719460028646,Started but not completed,Same as estimated,Low,Medium
Exam Preparation,Secondary,8.052810995042485,94.48783959605841,2.6286318883175066,4.84936362447136,Medium,3.0198048608793835,Started but not completed,Much more,Low,High
Reading / Notes,Optional,5.834242298928967,103.12831081189093,4.776406714283048,1.8980310222372343,Medium,3.600859308856534,Completed on time,Much more,High,Medium
Reading / Notes,Secondary,11.33002989285945,89.47284882671514,1.4157194648422844,2.1180514653560163,Low,2.2595587703899813,Completed on time,Much more,Low,High
Assignment,Core,5.958751164123727,76.83094774853396,2.7119865313912292,4.785227410069927,Medium,4.1592890100717845,Completed on time,Same as estimated,High,Low
Revision / Practice,Core,3.0454706336317283,54.66276484662761,2.128597826690031,4.5461434902657185,Low,3.261831313264788,Completed but late,Much more,High,Low
Project,Core,13.460334679069966,57.669924222477846,1.8611282378704206,2.4831794743509676,Low,1.4837096018629916,Started but not completed,Less than estimated,High,Low
Revision / Practice,Secondary,11.686736923317211,102.34837286283602,2.547348585129323,2.0110795489939206,Low,2.2961026124630006,Started but not completed,Much more,Medium,Medium
Revision / Practice,Optional,2.2329743914111,93.46378021736535,4.793477254769775,4.342462065023588,High,4.343169565119524,Completed on time,Same as estimated,High,High
Project,Optional,9.983471290977464,63.618792152014485,4.87266817857369,3.9412546739914025,Medium,1.9542050714982397,Started but not completed,Much more,Low,Low
Revision / Practice,Core,19.563010092309476,73.18683082789414,2.5221079275656377,3.448471578438116,Low,3.765567193952251,Completed on time,Much more,Low,High
Assignment,Secondary,8.578618156212954,101.54485022765795,3.547307414420894,2.354912068079948,High,1.812791736999388,Did not start,Slightly more,Medium,Low
Exam Preparation,Secondary,1.7572414975879402,61.56413689431918,1.534711406625993,1.6320686319529436,High,2.5914283009097683,Completed on time,Less than estimated,Low,Medium
Exam Preparation,Core,10.609383667719367,96.93668689498371,4.1435819857742064,3.0543547753069933,High,4.409796278785217,Started but not completed,Less than estimated,High,Low
Project,Secondary,14.44156264714303,64.41473534663459,3.074635912662256,2.764786844708938,High,2.750842304420525,Did not start,Same as estimated,High,Medium
Assignment,Core,10.804174950334186,58.8398832976535,4.250847746453406,2.6255420277759103,High,3.16642580519208,Started but not completed,Much more,High,Medium
Exam Preparation,Secondary,6.177214958196298,30.99836984558673,4.158447321670588,3.8128470969545063,High,4.891137386167006,Did not start,Much more,Low,Low
Revision / Practice,Secondary,0.4232593515398242,62.59068138340518,4.903725213153788,1.7404971480160696,Low,4.957731624508412,Completed but late,Same as estimated,High,Low
Reading / Notes,Optional,19.714788274914497,77.17229454630868,1.487184621181461,3.9824588991470486,Low,3.3095625709755776,Completed but late,Much more,High,High
Reading / Notes,Core,17.03289072429652,63.19958625599907,4.243367814945694,1.171239719192665,Low,3.5710845881507387,Did not start,Much more,Medium,Low
Exam Preparation,Core,10.815751171639132,108.44718772061869,3.4845990824670845,1.384275007773645,Low,2.130158637647947,Completed but late,Slightly more,Medium,High
Project,Secondary,12.693311307289012,70.91311298970045,1.3589094476911523,4.859334235728554,Low,4.851493840782436,Completed on time,Slightly more,Medium,High
Revision / Practice,Core,12.35819404009326,52.15516198378208,2.9808921028520277,4.074813618154783,High,2.179686308307522,Started but not completed,Less than estimated,Medium,Low
Revision / Practice,Core,2.3155689241170063,50.634328554972555,4.2655136972673064,2.764527375679125,High,2.3502116661198955,Completed but late,Less than estimated,Medium,Low
Reading / Notes,Core,19.385375474046906,101.14860928610439,1.0674006206250315,1.625037722899941,Low,2.415678334144683,Did not start,Same as estimated,Medium,Low
Reading / Notes,Secondary,7.873571774763509,53.19186358420322,4.260390751657185,2.9925430797195647,Low,2.866476151104394,Completed but late,Much more,Low,Medium
Assignment,Optional,6.627872572001008,78.65080804901623,2.760446300492953,4.649566222414496,High,2.4465197451422505,Completed on time,Much more,Low,High
Revision / Practice,Core,14.874048611091897,103.72612980861959,1.0508122762681622,4.59299143760035,High,4.0552102871396745,Started but not completed,Slightly more,Medium,High
Revision / Practice,Optional,4.659301425895224,119.26394376638947,4.17354643471863,1.2466314296786485,High,4.495734700238619,Completed but late,Much more,Low,Medium
Exam Preparation,Secondary,16.85557408227013,70.63476557344586,4.834234839562221,1.1817979291245786,Medium,1.8763695771101778,Did not start,Slightly more,Medium,Medium
Revision / Practice,Optional,16.826785525190814,46.61227993356326,1.480090424632707,4.217675585203192,Medium,3.302413855704542,Completed but late,Same as estimated,Low,Medium
Reading / Notes,Core,3.961437935380847,104.37839448216103,3.671062755124007,2.4451396369704463,High,2.168984080456919,Completed on time,Much more,Low,High
Exam Preparation,Optional,19.42223545836167,54.38740280349607,3.511734640023062,3.2245598501373136,Low,4.125574079994413,Started but not completed,Same as estimated,Medium,Medium
Project,Secondary,3.147754482559204,117.34496887882781,1.8310482517540456,2.7682945733365614,Low,2.419583357228519,Completed but late,Less than estimated,Medium,Medium
Exam Preparation,Optional,12.671723044311845,83.36567754826027,2.0177627658120576,4.691428470629831,Medium,2.7600573316913737,Started but not completed,Same as estimated,Low,Medium
Assignment,Core,16.803846668358954,35.867887697838796,3.2663950806109994,3.138896590387671,Low,1.3125018666900528,Completed on time,Slightly more,Medium,High
Assignment,Optional,10.95664692137927,63.05683075317242,3.5081586605531987,2.253317978886847,Low,1.422818989735752,Completed but late,Same as estimated,High,High
Exam Preparation,Secondary,2.5718819418018635,81.84310422090212,3.3484121618736924,2.79133496067221,Low,4.834904838147001,Did not start,Same as estimated,High,Low
Revision / Practice,Optional,13.846805921559778,99.94871149555239,1.1337232382361893,3.8371160052574744,High,3.1011151412922846,Completed but late,Same as estimated,Low,Medium
Exam Preparation,Optional,10.458330506597061,79.32384459859853,1.3939106944853834,4.248315487047766,High,1.956141612145808,Started but not completed,Slightly more,Medium,High
Reading / Notes,Core,3.5819842554859638,105.38909991846775,1.4094977587301658,1.6536055662098077,Low,3.6930682943734454,Did not start,Much more,Medium,Medium
Assignment,Secondary,6.772911604436205,74.94648983928164,1.674838251781209,1.8141220151858262,Low,2.5497333042829964,Started but not completed,Same as estimated,High,Medium
Assignment,Core,13.518055966540974,103.97397242361718,1.1681980695509027,1.0358266238529805,Low,2.618712956329755,Started but not completed,Same as estimated,High,Medium
Reading / Notes,Core,6.485940406841628,101.04451628172279,1.0315500485346862,2.643896584991728,Low,4.591607431749313,Did not start,Slightly more,Medium,Low
Reading / Notes,Secondary,2.3118486675652594,106.36750033988184,2.558243423566817,2.812983073010392,High,4.96805216654179,Completed but late,Slightly more,Medium,Medium
Reading / Notes,Core,0.8988022407262841,54.14371174419681,1.9345959243464885,1.7079342411411118,Medium,4.409083710876258,Did not start,Same as estimated,Medium,Medium
Revision / Practice,Core,13.504638297179895,100.00975668477963,2.5560031803039545,1.1623740219480707,Medium,1.5590486516523292,Completed on time,Much more,Medium,High
Reading / Notes,Secondary,8.282002419253606,66.0274997687705,2.814843039727179,1.4293147044445202,Medium,2.0983090531062607,Completed on time,Slightly more,Medium,Medium
Reading / Notes,Core,10.471936799879236,65.12422761581902,2.1141519486208535,1.5730864234994342,Medium,4.973538272186061,Started but not completed,Much more,High,Low
Revision / Practice,Optional,16.523621582505758,93.64199294118825,1.1652595762624762,4.1071940900274235,High,1.487137921455076,Started but not completed,Much more,High,Low
Revision / Practice,Secondary,16.413643046746014,61.53941525708784,4.385413179261446,2.806638181069063,High,2.2927052838836537,Completed but late,Slightly more,Medium,Medium
Revision / Practice,Optional,13.776293161839872,71.72230821258927,3.974240230191118,3.5357703605031827,Medium,4.60096196397901,Completed but late,Much more,High,Medium
Revision / Practice,Core,3.452366423364699,105.73038107387713,1.8140159879766187,2.3144265958692687,Low,2.7869501531024827,Completed but late,Much more,Medium,High
Project,Optional,2.7191293901817115,91.81946888635338,3.1451709589555708,1.2193060170760752,Low,3.5735311751834122,Completed on time,Same as estimated,Medium,Low
Project,Optional,16.404571698540018,110.19473024154264,2.280606997749836,4.179143775235071,High,1.153685766149927,Completed on time,Less than estimated,Low,Low
Revision / Practice,Optional,9.396722458355073,40.02023867048216,3.9859654808023843,4.744406157430937,Medium,4.992345294961895,Completed but late,Much more,Medium,Medium
Revision / Practice,Optional,9.252764970309915,46.02651211963099,3.0553753120523024,3.5581357959413844,High,1.6053572924643182,Completed but late,Same as estimated,Medium,High
Project,Core,6.8615640074574635,52.25657293483329,1.4566659196309746,4.627003313789147,Low,1.6034974334376888,Completed on time,Less than estimated,Medium,High
Reading / Notes,Core,3.6629691204572756,107.6888830263905,3.250399358327251,1.0804026655221093,Medium,2.5125664137054122,Completed but late,Less than estimated,Low,Low
Exam Preparation,Secondary,9.427764013441033,97.1829308576161,3.471642473399589,3.2660285601977024,High,2.641849093483892,Did not start,Less than estimated,High,High
Revision / Practice,Secondary,1.3376235616634546,112.29161440711074,4.740344321572495,3.2092128693686264,Medium,3.966317592848617,Completed but late,Less than estimated,Medium,Low
Reading / Notes,Secondary,13.6126584641149,38.17399783292157,4.947983188057836,2.0948347954631386,Medium,1.3132116070118998,Completed but late,Same as estimated,High,High
Revision / Practice,Optional,14.955955442965896,116.60845568448366,4.4012524697915705,1.8883826284815592,High,1.9813733759028045,Completed but late,Same as estimated,High,Low
Reading / Notes,Core,16.45286124570513,111.4842009209311,4.610139741341619,4.768519786392637,Low,2.5286072225601552,Did not start,Slightly more,Medium,Low
Assignment,Optional,10.804120354776483,106.78625186896926,3.9397868215993035,2.3564718033703573,High,3.7554945244428413,Completed on time,Much more,Low,Low
Revision / Practice,Core,13.35609156849985,39.0656629974002,2.2306921946329688,4.404267678542137,Medium,2.8423140444113653,Did not start,Much more,Low,Low
Exam Preparation,Core,1.0766288478994213,41.49192554623874,4.989807310774101,2.861696029533447,Low,1.732705843237404,Completed on time,Less than estimated,High,Low
Assignment,Secondary,9.575967134468314,53.81326805287465,1.5484735577802917,2.9427640031263684,High,4.476141037546003,Started but not completed,Less than estimated,High,Medium
Revision / Practice,Core,3.4007963319660273,44.52411836854766,3.044624328259475,3.993413424013498,High,3.079639320744151,Completed on time,Same as estimated,Low,High
Assignment,Secondary,6.457964454939187,74.0689189566028,3.4956453511914045,2.785592594188583,High,4.46939799466832,Did not start,Much more,Low,Medium
Exam Preparation,Core,13.560240724117985,85.91039209130697,3.452812497887253,4.7628902737709,Low,2.2954603222519063,Started but not completed,Same as estimated,High,Medium
Revision / Practice,Optional,7.226424386382946,62.586144077157115,1.4211645636908146,4.0498086678386835,Low,3.709946305692511,Did not start,Same as estimated,Low,Low
Project,Secondary,15.811030949989089,79.42164110141157,2.4497157036332746,1.2303923926060882,High,2.0956663715086683,Did not start,Less than estimated,Low,Low
Exam Preparation,Secondary,0.5747099420912094,63.58362683470408,4.768473000712329,1.3600006610538804,High,3.0119025839895976,Completed on time,Less than estimated,Low,High
Reading / Notes,Secondary,3.6032143134147843,41.67289856820416,4.140668866755886,4.0625833717789,High,4.504924969869513,Did not start,Same as estimated,Low,Low
Assignment,Secondary,13.50634802706457,72.53070017765094,4.1374896565139085,1.4256891053621685,High,1.9390422166051051,Did not start,Slightly more,High,High
Reading / Notes,Secondary,11.04659319343446,90.57497803066803,4.210239395176534,4.642597726206315,Medium,4.6110195519312915,Completed but late,Much more,High,Low
Exam Preparation,Core,14.450011960676683,37.44701003810292,4.794495784664389,1.8700350345842582,High,1.970855500591946,Started but not completed,Much more,Medium,High
Assignment,Secondary,6.68008569016342,104.68305169779208,4.910012246877073,4.896565420937244,Low,2.9294298033869084,Completed on time,Same as estimated,Low,Medium
